AÑO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2011,Chocó,145587,0.8379000000000001,0.8379000000000001,0.5017,0.8640000000000001,0.413,0.19640000000000002,1.1017000000000001,0.77,1.5046000000000002,0.8906000000000001,0.6313,0.0429,0.028900000000000002,0.0424,0.050499999999999996,0.0359,0.935,0.0007000000000000001,0.9419,0.050499999999999996,0.935,0.022099999999999998,0.0007000000000000001,0.9419,0.0425,0.0291,0.0042,0.0007000000000000001,0.006,0.0026,0.0007000000000000001
2011,Huila,275956,0.9052,0.9047,0.6990000000000001,0.9231,0.735,0.3849,1.0112999999999999,0.8747,1.1340999999999999,1.0454,0.7111,0.0438,0.04,0.032,0.06,0.0499,0.9239,0.0011,0.9434999999999999,0.06,0.8967,0.032400000000000005,0.0011,0.9434999999999999,0.0446,0.053399999999999996,0.0436,0.0011,0.0441,0.0559,0.0241
2011,La Guajira,231046,0.7712,0.77,0.4461,0.7468,0.4156,0.2191,0.894,0.8456,1.1906999999999999,0.6803,0.49829999999999997,0.0617,0.042,0.06309999999999999,0.0704,0.04650000000000001,0.9278,0.0046,0.9258,0.0704,0.9307,0.010700000000000001,0.0046,0.9258,0.0078000000000000005,0.022799999999999997,0.0385,0.0046,0.0449,0.0344,0.0146
2011,Magdalena,333793,0.9447,0.9431999999999999,0.5539999999999999,0.909,0.6653,0.37549999999999994,1.1051,1.0971,1.2912000000000001,1.031,0.7584000000000001,0.0363,0.022400000000000003,0.0345,0.040999999999999995,0.0437,0.9498000000000001,0.0042,0.9512,0.040999999999999995,0.9355,0.0139,0.0042,0.9512,0.0141,0.0208,0.0152,0.0042,0.0144,0.0199,0.006500000000000001
2011,Meta,209319,0.9365000000000001,0.9359000000000001,0.6146,0.9235,0.7589,0.4079,1.0282,0.8290000000000001,1.1506,1.0618,0.7526,0.0555,0.0512,0.0558,0.061500000000000006,0.038,0.9308,0.0007000000000000001,0.9339,0.061500000000000006,0.9390000000000001,0.0137,0.0007000000000000001,0.9339,0.018500000000000003,0.023,0.0148,0.0007000000000000001,0.0127,0.0226,0.009000000000000001
2011,Nariño,401313,0.8053,0.805,0.483,0.8014,0.5367999999999999,0.2904,0.9396,0.7592,1.1543,0.8715,0.6227,0.1017,0.1391,0.0967,0.1058,0.0901,0.8996999999999999,0.0008,0.912,0.1058,0.8945000000000001,0.013999999999999999,0.0008,0.912,0.0218,0.0255,0.0253,0.0008,0.023399999999999997,0.0352,0.0132
2011,Norte de Santander,324219,0.8904000000000001,0.8896,0.6890000000000001,0.9101,0.6638,0.39030000000000004,1.0248,0.8741,1.1743999999999999,0.981,0.823,0.0687,0.049800000000000004,0.051500000000000004,0.0935,0.08439999999999999,0.9255,0.0006,0.9440999999999999,0.0935,0.9014,0.006500000000000001,0.0006,0.9440999999999999,0.0076,0.016399999999999998,0.0219,0.0006,0.017,0.0346,0.015600000000000001
2011,Quindío,114075,0.9087000000000001,0.9083,0.6445000000000001,0.8553000000000001,0.8031999999999999,0.4729,1.0395,0.8226,1.0621,1.1489,0.8783,0.0504,0.0513,0.0452,0.059800000000000006,0.040999999999999995,0.9243000000000001,0.0003,0.9423999999999999,0.059800000000000006,0.9166,0.0253,0.0003,0.9423999999999999,0.0397,0.042300000000000004,0.013600000000000001,0.0003,0.011000000000000001,0.0203,0.0086
2011,Risaralda,192633,0.9561,0.9543,0.6738,0.9331999999999999,0.7637999999999999,0.42829999999999996,1.1240999999999999,0.8913,1.1887999999999999,1.1909999999999998,0.9527,0.0479,0.0373,0.0377,0.061399999999999996,0.053899999999999997,0.9407,0.0015,0.9556999999999999,0.061399999999999996,0.9125,0.011399999999999999,0.0015,0.9556999999999999,0.0124,0.0335,0.0177,0.0015,0.0143,0.026099999999999998,0.0113
2011,Santander,434034,0.9248999999999999,0.924,0.6970000000000001,0.9288,0.7728,0.48100000000000004,1.0343,0.943,1.114,1.0632,0.8387,0.0368,0.0338,0.0287,0.0475,0.038,0.9425,0.0034000000000000002,0.9611,0.0475,0.9322,0.0207,0.0034000000000000002,0.9611,0.0348,0.0298,0.0292,0.0034000000000000002,0.023,0.044800000000000006,0.0159
